,day,closing,alpha,f,yield,datetime
288,2020/3/16,2789.25,0.506497,-0.5823,-0.015019999999999999,2020-03-16
289,2020/3/17,2779.64,0.564236,0.341179,-0.0015,2020-03-17
290,2020/3/18,2728.76,0.492201,-0.68313,-0.008020000000000001,2020-03-18
291,2020/3/19,2702.13,0.012785,0.248784,-0.00426,2020-03-19
292,2020/3/20,2745.62,1.15e-10,-0.38763000000000003,0.006934,2020-03-20
293,2020/3/23,2660.17,0.002811,-0.41286999999999996,-0.013730000000000001,2020-03-23
294,2020/3/24,2722.44,1.1e-10,-0.34861,0.010048999999999999,2020-03-24
295,2020/3/25,2781.59,0.585673,-0.11064,0.009335,2020-03-25
296,2020/3/26,2764.91,1.92e-11,-0.004220000000000001,-0.0026100000000000003,2020-03-26
297,2020/3/27,2772.2,0.8426809999999999,-0.07264,0.001144,2020-03-27
298,2020/3/30,2747.21,4.68e-12,-0.40266,-0.0039299999999999995,2020-03-30
299,2020/3/31,2750.3,0.212864,-0.03688,0.000488,2020-03-31
300,2020/4/1,2734.52,1.0978459999999999,-0.87146,-0.0025,2020-04-01
301,2020/4/2,2780.64,0.158972,0.234265,0.007264,2020-04-02
302,2020/4/3,2763.99,0.254749,0.737672,-0.0026100000000000003,2020-04-03
303,2020/4/7,2820.76,0.070898,0.473105,0.00883,2020-04-07
304,2020/4/8,2815.37,1.796114,-1.08922,-0.0008300000000000001,2020-04-08
305,2020/4/9,2825.9,3.4700000000000004e-12,0.24433000000000002,0.001621,2020-04-09
306,2020/4/10,2796.63,0.324924,-0.5259,-0.004520000000000001,2020-04-10
307,2020/4/13,2783.05,0.672481,-0.22385,-0.0021100000000000003,2020-04-13
308,2020/4/14,2827.28,1.0956540000000001,-0.70619,0.006848000000000001,2020-04-14
309,2020/4/15,2811.17,0.82886,-0.4579,-0.00248,2020-04-15
310,2020/4/16,2819.94,0.499579,-0.6269399999999999,0.001353,2020-04-16
311,2020/4/17,2838.49,0.34657,-0.19831,0.002848,2020-04-17
312,2020/4/20,2852.55,0.492663,-0.29975,0.002146,2020-04-20
313,2020/4/21,2827.01,0.129778,-0.93191,-0.00391,2020-04-21
314,2020/4/22,2843.98,0.387838,-1.06158,0.0025989999999999997,2020-04-22
315,2020/4/23,2838.5,0.229073,0.670135,-0.00084,2020-04-23
316,2020/4/24,2808.53,0.598406,-0.35794000000000004,-0.00461,2020-04-24
317,2020/4/27,2815.49,0.70214,0.212207,0.001075,2020-04-27
318,2020/4/28,2810.02,0.994295,0.115167,-0.00084,2020-04-28
319,2020/4/29,2822.44,0.732911,-1.28768,0.0019149999999999998,2020-04-29
320,2020/4/30,2860.08,1.046522,-0.67378,0.005753,2020-04-30
321,2020/5/6,2878.14,0.277798,1.247452,0.002734,2020-05-06
322,2020/5/7,2871.52,1.320503,-0.7801,-0.001,2020-05-07
323,2020/5/8,2895.34,0.8559889999999999,-0.95105,0.003588,2020-05-08
324,2020/5/11,2894.8,0.530658,-0.22976999999999997,-8.1e-05,2020-05-11
325,2020/5/12,2891.56,3.4400000000000003e-12,0.0067989999999999995,-0.00049,2020-05-12
326,2020/5/13,2898.05,0.416666,0.178682,0.000974,2020-05-13
327,2020/5/14,2870.34,0.06919299999999999,0.07589,-0.00417,2020-05-14
328,2020/5/15,2868.46,3.33e-11,0.089396,-0.00028,2020-05-15
329,2020/5/18,2875.42,0.6054609999999999,0.007234999999999999,0.001052,2020-05-18
330,2020/5/19,2898.58,2.12e-10,0.337014,0.0034840000000000006,2020-05-19
331,2020/5/20,2883.74,8.48e-10,-1.51905,-0.00223,2020-05-20
332,2020/5/21,2867.92,1.0400000000000001e-09,-0.46557,-0.0023899999999999998,2020-05-21
333,2020/5/22,2813.77,0.8674149999999999,-0.5139100000000001,-0.00828,2020-05-22
334,2020/5/25,2817.97,1.1016700000000001,0.002774,0.000648,2020-05-25
